Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_346.jpg;-2.983593;0;0;1.679274;101.6008;87.63599;359.9459;41.43903;359.1679
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_412.jpg;-0.0009977818;0;0;1.671715;101.6986;87.72199;359.7547;41.25572;359.1583
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_478.jpg;0;0;0;1.665506;101.772;87.78714;359.6593;41.25132;359.2068
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_545.jpg;0;0;0;1.658895;101.8459;87.85275;359.6236;41.26315;359.3054
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_610.jpg;0;0.099756;0;1.650573;101.92;87.91794;359.6048;41.26621;359.4076
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_678.jpg;0;0.2982574;0;1.65203;102.0195;88.00525;359.6102;41.2664;359.5454
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_745.jpg;0;0.4978831;0;1.662083;102.0954;88.07178;359.6578;41.26643;359.6487
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_811.jpg;0;0.6991954;0;1.689932;102.1729;88.13975;359.7569;41.26655;359.7498
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_878.jpg;0;0.9020584;0;1.721319;102.2799;88.23345;359.9856;41.26679;359.8777
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_945.jpg;0;1;0;1.761;102.3633;88.30648;0.2335468;41.26699;359.9666
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_010.jpg;0;1;0;1.819106;102.4493;88.38185;0.535695;41.26722;0.04811978
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_078.jpg;0;1;0;1.863021;102.5678;88.48447;0.9426134;41.24591;0.08884296
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_144.jpg;0;1;0;1.922758;102.659;88.56322;1.23446;41.2234;0.07783929
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_211.jpg;0;1;0;1.966866;102.7508;88.64163;1.389389;41.2129;-0.003462376
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_278.jpg;0;1;0;2.019944;102.8714;88.74715;1.27445;41.26743;-0.0007599932
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_344.jpg;0;0.9010837;0;2.067272;102.9649;88.82858;1.224382;41.25818;-0.0005779233
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_411.jpg;0;0.700702;0;2.11579;103.0604;88.9117;1.204409;41.24583;-0.0005516596
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_477.jpg;0;0.5008566;0;2.141541;103.1897;89.02414;1.187962;41.2289;-0.0005218746
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_544.jpg;0;0.3008797;0;2.158976;103.2873;89.10899;1.161687;41.21631;-0.0004736216
